Year,County,GDP,Population,Violent,Property,Human Trafficking,Index Crime Total
2021,Catoosa,1419287.0,68420.0,83,620,0,703
2021,Charlton,187551.0,12813.0,3,55,0,58
2021,Chatham,17759786.0,295656.0,231,1513,0,1744
2021,Chattahoochee,1513138.0,9044.0,0,0,0,0
2021,Chattooga,482512.0,24828.0,43,308,0,351
2021,Cherokee,7429347.0,274839.0,284,1656,9,1949
2021,Clarke,6992495.0,129185.0,761,3958,1,4720
2021,Clay,84067.0,2859.0,3,11,0,14
2021,Clayton,14342808.0,297318.0,1703,5516,0,7219
2021,Clinch,211911.0,6698.0,5,60,0,65
2021,Cobb,52448079.0,766691.0,1927,11934,23,13884
2021,Coffee,1443886.0,42997.0,83,409,0,492
2021,Colquitt,1341785.0,45757.0,92,571,0,663
2021,Columbia,3963964.0,159636.0,25,134,0,159
2021,Cook,346291.0,17266.0,15,142,0,157
2021,Coweta,4805398.0,149925.0,1224,1684,9,2917
2021,Crawford,146434.0,12139.0,35,139,0,174
2021,Crisp,795574.0,20024.0,134,671,0,805
2021,Dade,401695.0,16230.0,0,0,0,0
2021,Dawson,865497.0,28475.0,54,321,0,375
2021,Decatur,768370.0,29045.0,140,796,0,936
2021,DeKalb,38922069.0,759231.0,5404,22295,33,27732
2021,Dodge,382681.0,19675.0,81,432,0,513
2021,Dooly,332890.0,10881.0,0,1,2,3
2021,Dougherty,4056962.0,82267.0,1161,3247,0,4408
2021,Douglas,4444954.0,145628.0,442,2586,1,3029
2021,Early,418180.0,10651.0,69,152,0,221
2021,Echols,39411.0,3708.0,0,0,0,0
2021,Effingham,1853923.0,66746.0,71,487,0,558
2021,Elbert,591818.0,19554.0,62,264,0,326
2021,Emanuel,634861.0,22887.0,40,165,1,206
2021,Evans,319747.0,10711.0,22,82,0,104
2021,Fannin,729848.0,25763.0,18,120,0,138
2021,Fayette,5049262.0,120681.0,90,1064,1,1155
2021,Floyd,3718784.0,98499.0,408,2191,12,2611
2021,Forsyth,10072797.0,260721.0,152,1325,0,1477
